alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
9.0;0.05;0.6;16.6;83.4;23.4;30.17;12.132;40.2081854752
9.0;0.05;0.9;3.8;96.2;15.4;29.18;15.216;52.1301785631
9.0;0.05;1.0;0.6;99.4;11.8;30.03;17.394;57.9074139232
9.0;0.05;9.0;33.0;67.0;29.8;29.51;9.282;31.4573246903
9.0;0.05;99.0;30.4;69.6;25.2;29.99;9.628;32.0035074251
9.0;0.3;0.05;76.4;23.6;22.0;30.05;3.238;10.7980179005
9.0;0.3;0.3;54.6;45.4;20.2;29.28;5.91;20.1443370854
9.0;0.3;0.6;19.6;80.4;21.2;30.46;11.562;37.8828085902
9.0;0.3;0.9;1.4;98.6;10.2;28.92;15.818;54.6472500076
9.0;0.3;1.0;1.4;98.6;12.4;29.64;17.718;59.78385208
9.0;0.3;9.0;31.6;68.4;28.6;30.34;9.758;32.1786756172
9.0;0.3;99.0;31.8;68.2;20.8;29.4;9.512;32.3922157628
9.0;0.6;0.05;76.0;24.0;25.8;29.79;3.642;12.2141511745
9.0;0.6;0.3;56.8;43.2;23.6;29.77;5.604;18.8374767773
9.0;0.6;0.6;33.2;66.8;20.2;29.97;9.058;30.2052571163
9.0;0.6;0.9;2.4;97.6;16.6;29.68;16.06;54.1268672291
9.0;0.6;1.0;1.4;98.6;9.6;29.29;17.2;58.7379176515
9.0;0.6;9.0;41.2;58.8;27.6;29.94;8.32;27.7450201112
9.0;0.6;99.0;38.8;61.2;21.2;29.44;8.584;29.089551798
9.0;0.9;0.05;77.8;22.2;23.6;29.35;3.246;10.9974211533
9.0;0.9;0.3;56.4;43.6;28.0;30.36;5.874;19.3219782715
9.0;0.9;0.6;39.0;61.0;20.6;29.21;8.712;29.8882110293
9.0;0.9;0.9;3.0;97.0;20.4;29.37;15.9;54.1245980389
9.0;0.9;1.0;0.8;99.2;16.8;30.48;17.838;58.5348466205
9.0;0.9;9.0;42.2;57.8;36.4;30.0;7.798;26.0110165399
9.0;0.9;99.0;39.2;60.8;20.6;30.3;8.27;27.3736720172
9.0;1.0;0.05;76.2;23.8;25.6;30.18;3.378;11.1073653516
9.0;1.0;0.3;66.2;33.8;26.6;29.54;4.818;16.2808469443
9.0;1.0;0.6;39.8;60.2;30.8;30.39;8.486;27.9647631533
9.0;1.0;0.9;2.0;98.0;12.4;30.04;16.718;55.6399650242
9.0;1.0;1.0;1.2;98.8;11.6;29.06;16.596;57.1055273088
9.0;1.0;9.0;54.4;45.6;27.4;29.97;6.528;21.7379885164
9.0;1.0;99.0;44.6;55.4;32.0;29.38;7.31;24.8722059627
9.0;9.0;0.05;77.4;22.6;28.0;29.61;3.628;12.228127876
9.0;9.0;0.3;49.2;50.8;21.2;29.65;6.788;22.8639614618
9.0;9.0;0.6;21.8;78.2;19.8;29.23;10.934;37.3859215112
9.0;9.0;0.9;2.2;97.8;12.6;29.39;15.824;53.8410787398
9.0;9.0;1.0;0.0;100.0;11.0;30.5;18.158;59.5232746148
