alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
9.0;9.0;0.05;78.8;21.2;23.8;29.54;2.952;10.0035990803
9.0;9.0;0.3;51.0;49.0;25.0;30.0;6.468;21.5958051185
9.0;9.0;0.6;21.6;78.4;21.0;30.01;11.082;36.908382184
9.0;9.0;0.9;3.6;96.4;21.6;29.73;15.704;52.7548776608
9.0;9.0;1.0;0.4;99.6;11.8;29.72;17.292;58.1848667325
9.0;9.0;9.0;30.4;69.6;20.0;29.94;9.836;32.759489785
9.0;9.0;99.0;30.0;70.0;16.8;30.23;9.604;31.7259554759
9.0;99.0;0.05;73.8;26.2;24.8;30.3;3.848;12.7147579266
9.0;99.0;0.3;58.2;41.8;19.2;29.94;5.564;18.6055957268
9.0;99.0;0.6;27.8;72.2;16.4;29.74;10.352;34.8209629057
9.0;99.0;0.9;4.2;95.8;15.4;29.71;15.788;53.1893532583
9.0;99.0;1.0;0.8;99.2;10.8;30.56;18.68;61.1284436858
9.0;99.0;9.0;32.8;67.2;15.2;29.84;9.266;31.0963302015
9.0;99.0;99.0;34.6;65.4;20.6;29.36;8.894;30.2988310046
99.0;0.05;0.05;76.8;23.2;25.4;29.37;3.366;11.4700097775
99.0;0.05;0.3;54.2;45.8;24.4;29.54;5.712;19.4712378846
99.0;0.05;0.6;20.2;79.8;14.8;30.15;11.688;38.7620846587
99.0;0.05;0.9;2.6;97.4;9.2;30.51;17.16;56.2663603372
99.0;0.05;1.0;0.8;99.2;17.0;30.12;16.96;56.2980548649
99.0;0.05;9.0;29.0;71.0;19.8;29.88;9.992;33.5017964281
99.0;0.05;99.0;30.4;69.6;20.2;30.29;9.762;32.166890432
99.0;0.3;0.05;76.2;23.8;29.6;30.31;3.638;11.9984047116
99.0;0.3;0.3;56.8;43.2;22.4;29.19;5.432;18.6129222975
99.0;0.3;0.6;27.0;73.0;25.2;29.4;10.032;34.1369852063
99.0;0.3;0.9;3.8;96.2;19.2;29.9;15.35;51.3629192059
99.0;0.3;1.0;0.8;99.2;12.2;29.94;16.99;56.7436552246
99.0;0.3;9.0;31.2;68.8;22.8;29.48;9.13;30.9839440858
99.0;0.3;99.0;36.2;63.8;19.8;28.99;8.602;29.6503846311
99.0;0.6;0.05;78.0;22.0;27.0;30.28;3.422;11.3218654797
99.0;0.6;0.3;58.0;42.0;20.0;29.78;5.912;19.8220105576
99.0;0.6;0.6;27.8;72.2;22.0;29.93;10.268;34.3001036431
99.0;0.6;0.9;5.2;94.8;21.8;30.14;15.992;53.0472387867
99.0;0.6;1.0;1.6;98.4;17.0;29.27;16.71;57.0940596031
99.0;0.6;9.0;38.4;61.6;24.6;29.62;9.244;31.2022091594
99.0;0.6;99.0;39.8;60.2;27.4;29.8;8.852;29.6509660838
99.0;0.9;0.05;76.6;23.4;27.4;30.13;3.256;10.8283509558
99.0;0.9;0.3;62.2;37.8;25.0;30.39;5.286;17.4252391288
99.0;0.9;0.6;43.0;57.0;21.4;29.57;7.934;26.7238899924
99.0;0.9;0.9;10.2;89.8;14.8;29.67;14.428;48.5926332054
99.0;0.9;1.0;0.8;99.2;11.0;29.97;17.556;58.5829463787
99.0;0.9;9.0;46.2;53.8;29.6;29.27;7.54;25.7341764721
99.0;0.9;99.0;45.8;54.2;27.8;30.01;7.672;25.5945111427
99.0;1.0;0.05;77.4;22.6;32.6;29.46;3.03;10.3119457762
99.0;1.0;0.3;61.6;38.4;15.2;29.75;5.468;18.3283114196
99.0;1.0;0.6;48.6;51.4;24.8;29.78;7.412;24.8185210776
99.0;1.0;0.9;26.0;74.0;17.8;29.68;10.486;35.3485977758
99.0;1.0;1.0;2.6;97.4;18.4;29.17;14.486;49.641243075
99.0;1.0;9.0;59.8;40.2;24.0;29.91;5.486;18.4140603477
99.0;1.0;99.0;61.8;38.2;31.8;29.98;5.422;18.1349127908
99.0;9.0;0.05;73.2;26.8;20.8;29.68;4.25;14.3065030164
99.0;9.0;0.3;47.8;52.2;20.8;29.3;6.902;23.5639765528
99.0;9.0;0.6;23.4;76.6;18.2;29.02;10.674;36.7601847618
99.0;9.0;0.9;3.4;96.6;20.0;29.86;15.576;52.1610577915
99.0;9.0;1.0;0.8;99.2;19.4;29.54;17.72;59.9879434254
99.0;9.0;9.0;30.0;70.0;19.4;29.58;9.518;32.1953141436
99.0;9.0;99.0;32.0;68.0;13.2;28.58;8.702;30.4401002353
99.0;99.0;0.05;77.8;22.2;26.2;29.83;3.198;10.6857348471
99.0;99.0;0.3;52.8;47.2;23.2;30.01;6.95;23.1975968691
99.0;99.0;0.6;21.8;78.2;20.8;29.69;11.472;38.5961326309
99.0;99.0;0.9;3.4;96.6;9.0;29.51;15.722;53.2871457008
99.0;99.0;1.0;0.0;100.0;9.6;28.56;17.282;60.5343925446
99.0;99.0;9.0;32.4;67.6;14.2;29.52;9.854;33.3761937676
99.0;99.0;99.0;33.2;66.8;20.0;29.66;9.182;30.9718424652
