alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.6;999.0;0.9;19.8;80.2;17.0;29.38;11.76;40.0269958034
0.6;999.0;1.0;3.0;97.0;15.6;31.07;17.584;56.6587572541
0.6;999.0;9.0;59.8;40.2;29.6;29.86;5.516;18.4216309663
0.6;999.0;99.0;59.0;41.0;30.6;30.03;5.466;18.1730618995
0.6;999.0;999.0;57.6;42.4;22.6;29.47;5.796;19.7788120273
0.9;0.05;0.05;76.4;23.6;26.0;29.95;3.36;11.2195952946
0.9;0.05;0.3;48.8;51.2;21.8;29.27;6.61;22.5639165041
0.9;0.05;0.6;21.6;78.4;17.2;29.89;11.29;37.6787055049
0.9;0.05;0.9;2.2;97.8;11.0;29.7;15.764;53.0658370205
0.9;0.05;1.0;0.2;99.8;15.2;29.43;16.946;57.5723718398
0.9;0.05;9.0;29.0;71.0;25.0;29.2;9.554;32.6842170064
0.9;0.05;99.0;31.0;69.0;20.6;30.24;9.538;31.5652068077
0.9;0.05;999.0;32.0;68.0;17.4;29.59;9.674;32.6499600154
0.9;0.3;0.05;74.8;25.2;30.0;29.18;3.574;12.2594955599
0.9;0.3;0.3;55.6;44.4;18.0;29.82;5.776;19.3862622715
0.9;0.3;0.6;26.2;73.8;10.2;30.05;11.124;37.0276672246
0.9;0.3;0.9;4.2;95.8;14.8;29.8;15.698;52.6520647658
0.9;0.3;1.0;0.4;99.6;11.0;29.58;18.27;61.777343372
0.9;0.3;9.0;35.6;64.4;22.0;29.36;8.716;29.6756833945
0.9;0.3;99.0;36.8;63.2;31.8;30.63;9.554;31.1650653574
0.9;0.3;999.0;38.6;61.4;26.4;29.5;8.474;28.7244148343
0.9;0.6;0.05;77.2;22.8;30.0;30.23;3.358;11.0641364315
0.9;0.6;0.3;57.0;43.0;22.2;29.58;5.614;18.9772112976
0.9;0.6;0.6;30.4;69.6;17.2;29.97;10.284;34.3210284972
0.9;0.6;0.9;7.0;93.0;13.4;29.77;14.368;48.3195693685
0.9;0.6;1.0;2.0;98.0;6.2;29.51;17.642;59.8061423869
0.9;0.6;9.0;43.2;56.8;18.0;29.7;7.438;25.0808322807
0.9;0.6;99.0;41.8;58.2;24.8;30.2;8.206;27.1386130228
0.9;0.6;999.0;43.4;56.6;20.4;29.25;7.718;26.380148317
0.9;0.9;0.05;77.6;22.4;25.0;29.89;3.26;10.8730843141
0.9;0.9;0.3;66.4;33.6;19.4;29.22;4.612;15.7830256658
0.9;0.9;0.6;39.2;60.8;22.2;29.68;8.548;28.7561742678
0.9;0.9;0.9;15.4;84.6;22.8;29.74;12.814;43.1010745104
0.9;0.9;1.0;7.4;92.6;12.8;29.58;15.63;52.8318451163
0.9;0.9;9.0;49.4;50.6;29.6;30.25;7.128;23.5832034277
0.9;0.9;99.0;50.4;49.6;23.6;29.87;6.66;22.31288798
0.9;0.9;999.0;47.2;52.8;24.4;29.32;7.596;25.8956925288
0.9;1.0;0.05;78.8;21.2;28.0;29.39;2.928;9.96381756582
0.9;1.0;0.3;73.6;26.4;31.4;29.65;3.668;12.3863482325
0.9;1.0;0.6;62.6;37.4;22.2;30.17;5.35;17.7252985377
0.9;1.0;0.9;68.4;31.6;26.4;29.74;4.914;16.5161839677
0.9;1.0;1.0;4.4;95.6;15.4;29.9;14.574;48.7480579554
0.9;1.0;9.0;68.2;31.8;30.0;30.26;4.384;14.4711436736
0.9;1.0;99.0;68.0;32.0;22.0;30.56;4.51;14.7879835103
0.9;1.0;999.0;65.6;34.4;29.4;30.38;4.752;15.5986224616
0.9;9.0;0.05;79.8;20.2;33.6;30.05;2.9;9.58979401861
0.9;9.0;0.3;75.0;25.0;30.8;30.11;3.696;12.2252462047
0.9;9.0;0.6;73.4;26.6;29.0;30.07;3.382;11.2084635072
0.9;9.0;0.9;26.6;73.4;20.4;30.24;11.39;37.6835396634
0.9;9.0;1.0;2.6;97.4;12.6;29.27;16.94;57.8694138232
0.9;9.0;9.0;73.2;26.8;20.8;30.47;4.234;13.9023424401
0.9;9.0;99.0;73.0;27.0;28.6;30.23;3.836;12.6814467089
0.9;9.0;999.0;74.2;25.8;22.2;30.33;3.972;13.1456455115
0.9;99.0;0.05;75.6;24.4;29.0;29.6;3.766;12.7531525652
0.9;99.0;0.3;78.6;21.4;21.4;30.73;3.314;10.7283746463
0.9;99.0;0.6;69.2;30.8;22.0;29.6;4.152;14.0068010663
0.9;99.0;0.9;22.8;77.2;29.0;29.56;11.88;40.1771548392
0.9;99.0;1.0;3.2;96.8;14.4;29.54;17.134;58.0020273442
0.9;99.0;9.0;71.0;29.0;27.4;30.38;4.402;14.4822409125
0.9;99.0;99.0;66.2;33.8;21.6;29.44;4.428;15.04839654
0.9;99.0;999.0;74.0;26.0;27.0;30.28;3.668;12.1623178144
0.9;999.0;0.05;81.4;18.6;25.0;29.64;3.012;10.1515485643
0.9;999.0;0.3;70.8;29.2;28.2;29.87;4.094;13.7516001121
0.9;999.0;0.6;63.4;36.6;20.8;29.15;4.64;15.8873082733
0.9;999.0;0.9;26.4;73.6;14.4;29.83;11.288;37.8555412221
0.9;999.0;1.0;7.8;92.2;15.2;30.91;16.56;53.6189666087
0.9;999.0;9.0;68.4;31.6;25.0;30.11;3.954;13.1280790805
0.9;999.0;99.0;62.2;37.8;29.4;29.92;5.52;18.4730650985
0.9;999.0;999.0;66.6;33.4;27.8;29.74;4.546;15.2868998209
1.0;0.05;0.05;76.4;23.6;26.0;29.33;3.38;11.4874885505
1.0;0.05;0.3;51.8;48.2;23.4;29.8;6.344;21.3883376798
1.0;0.05;0.6;19.2;80.8;21.6;29.61;11.38;38.4153257225
1.0;0.05;0.9;2.0;98.0;14.8;28.8;15.816;54.9112101387
1.0;0.05;1.0;0.4;99.6;12.4;29.34;17.734;60.4674267305
1.0;0.05;9.0;32.6;67.4;20.4;29.31;9.226;31.4798489704
1.0;0.05;99.0;27.8;72.2;24.4;30.23;10.164;33.5473117531
1.0;0.05;999.0;29.8;70.2;29.0;30.07;9.804;32.5757315201
1.0;0.3;0.05;76.0;24.0;22.0;29.76;3.292;11.0861384863
