alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
9.0;0.05;1.0;0.2;99.8;12.6;29.68;17.344;58.4435986028
9.0;0.05;9.0;31.6;68.4;19.6;29.87;8.968;30.0394823916
9.0;0.05;99.0;30.6;69.4;23.8;29.7;9.368;31.6142821025
9.0;0.3;0.05;71.0;29.0;23.0;29.67;4.484;15.0941632022
9.0;0.3;0.3;52.2;47.8;25.4;30.11;6.898;22.9150828781
9.0;0.3;0.6;28.4;71.6;20.2;29.71;10.152;34.1589027316
9.0;0.3;0.9;3.8;96.2;13.4;30.38;16.102;53.0330363155
9.0;0.3;1.0;0.6;99.4;14.6;29.9;16.356;54.7336521273
9.0;0.3;9.0;34.6;65.4;21.6;29.98;8.86;29.5485572713
9.0;0.3;99.0;31.2;68.8;23.2;30.29;9.892;32.6578147978
9.0;0.6;0.05;75.0;25.0;27.2;29.77;3.528;11.8428126914
9.0;0.6;0.3;55.8;44.2;30.8;30.13;6.178;20.4511310538
9.0;0.6;0.6;27.0;73.0;18.4;29.6;10.132;34.2060410786
9.0;0.6;0.9;5.8;94.2;21.2;29.4;15.116;51.4220518451
9.0;0.6;1.0;1.4;98.6;11.4;29.42;17.508;59.4980197622
9.0;0.6;9.0;35.0;65.0;19.4;29.95;9.274;30.9818474481
9.0;0.6;99.0;40.8;59.2;16.4;30.34;8.43;27.8158528905
9.0;0.9;0.05;76.2;23.8;27.6;29.62;3.492;11.8001958436
9.0;0.9;0.3;66.4;33.6;31.8;30.01;4.29;14.2862695954
9.0;0.9;0.6;53.0;47.0;30.0;30.18;6.7;22.1371596402
9.0;0.9;0.9;27.4;72.6;14.6;29.72;11.258;37.8793586652
9.0;0.9;1.0;2.0;98.0;13.0;30.52;15.678;51.3575805628
9.0;0.9;9.0;56.8;43.2;23.6;29.01;5.936;20.4478522114
9.0;0.9;99.0;53.2;46.8;18.0;30.65;6.886;22.5268908009
9.0;1.0;0.05;79.8;20.2;39.0;29.59;2.934;9.86717386019
9.0;1.0;0.3;74.0;26.0;26.2;29.37;3.45;11.7063332596
9.0;1.0;0.6;61.2;38.8;23.8;29.48;5.114;17.2784138213
9.0;1.0;0.9;69.8;30.2;19.8;29.34;4.502;15.3085439813
9.0;1.0;1.0;53.0;47.0;26.0;30.51;6.878;22.5526407292
9.0;1.0;9.0;69.6;30.4;24.0;29.83;4.458;14.8961904091
9.0;1.0;99.0;67.4;32.6;23.8;29.9;4.42;14.7284898541
9.0;9.0;0.05;77.2;22.8;28.2;29.64;3.306;11.1352542969
9.0;9.0;0.3;49.6;50.4;22.2;29.31;6.792;23.1689297834
9.0;9.0;0.6;20.0;80.0;22.2;29.94;11.416;38.1457281415
9.0;9.0;0.9;2.4;97.6;8.2;29.56;16.064;54.3384109469
9.0;9.0;1.0;2.8;97.2;16.2;30.34;15.202;50.0945881212
9.0;9.0;9.0;32.4;67.6;25.6;30.04;10.018;33.3390559298
9.0;9.0;99.0;28.0;72.0;19.8;30.46;10.05;33.0012692293
9.0;99.0;0.05;77.4;22.6;26.6;29.27;3.036;10.3550105366
9.0;99.0;0.3;58.2;41.8;28.8;29.88;5.892;19.6915036394
9.0;99.0;0.6;20.8;79.2;22.8;29.71;11.074;37.2919906032
9.0;99.0;0.9;7.6;92.4;14.6;30.0;15.66;52.1744107954
9.0;99.0;1.0;0.8;99.2;11.6;29.69;17.612;59.3082633816
9.0;99.0;9.0;33.0;67.0;28.6;29.53;9.216;31.2288652022
9.0;99.0;99.0;32.4;67.6;21.8;29.72;8.896;29.9184502848
99.0;0.05;0.05;77.6;22.4;30.0;30.26;3.45;11.3785249427
99.0;0.05;0.3;50.0;50.0;32.8;29.99;6.438;21.4814770321
99.0;0.05;0.6;21.2;78.8;13.4;29.92;10.66;35.6622473893
99.0;0.05;0.9;1.0;99.0;12.4;28.7;15.804;55.0477765125
99.0;0.05;1.0;1.0;99.0;12.4;29.45;17.848;60.6393213087
99.0;0.05;9.0;30.4;69.6;23.4;29.73;9.344;31.3881759754
99.0;0.05;99.0;28.8;71.2;13.6;29.68;9.362;31.5430873468
99.0;0.3;0.05;76.0;24.0;25.0;29.48;3.268;11.0906022174
99.0;0.3;0.3;56.8;43.2;21.2;30.13;5.89;19.5896584678
99.0;0.3;0.6;24.2;75.8;23.2;29.57;10.764;36.3903231094
99.0;0.3;0.9;2.8;97.2;17.4;29.67;16.398;55.2349715776
99.0;0.3;1.0;1.4;98.6;10.2;29.58;17.346;58.6418580993
99.0;0.3;9.0;36.4;63.6;21.0;30.0;9.48;31.6054397783
99.0;0.3;99.0;31.0;69.0;29.4;29.28;9.31;31.7230890135
99.0;0.6;0.05;74.6;25.4;30.8;30.16;3.594;11.9160375841
99.0;0.6;0.3;60.8;39.2;26.0;29.47;5.22;17.7476258033
99.0;0.6;0.6;27.2;72.8;26.8;29.34;10.274;35.02622717
99.0;0.6;0.9;5.6;94.4;18.2;29.63;15.7;53.0010218341
99.0;0.6;1.0;3.2;96.8;10.8;29.43;14.99;50.9217211499
99.0;0.6;9.0;39.4;60.6;25.6;29.62;8.084;27.268768487
99.0;0.6;99.0;40.2;59.8;32.0;29.6;8.348;28.2094056615
99.0;0.9;0.05;74.6;25.4;34.0;30.31;3.38;11.1798782767
99.0;0.9;0.3;63.6;36.4;28.0;29.04;4.89;16.8328393168
99.0;0.9;0.6;46.8;53.2;19.8;29.83;7.454;25.0321960664
99.0;0.9;0.9;25.6;74.4;20.8;29.74;11.32;38.1670912198
99.0;0.9;1.0;0.2;99.8;13.8;29.74;16.53;55.5531731051
99.0;0.9;9.0;48.2;51.8;19.4;30.2;7.526;24.8819100148
99.0;0.9;99.0;56.8;43.2;21.8;29.35;5.914;20.0448451942
99.0;1.0;0.05;81.4;18.6;30.4;28.89;2.672;9.28368779671
99.0;1.0;0.3;70.4;29.6;24.4;30.43;4.252;13.9847082163
99.0;1.0;0.6;67.2;32.8;29.4;29.94;4.76;15.9028284316
99.0;1.0;0.9;67.0;33.0;18.2;29.95;4.914;16.6328097109
99.0;1.0;1.0;1.4;98.6;9.8;29.74;17.04;57.257728331
99.0;1.0;9.0;63.6;36.4;30.0;29.49;4.48;15.096820472
99.0;1.0;99.0;66.6;33.4;24.2;29.89;4.762;15.932929294
99.0;9.0;0.05;73.6;26.4;21.8;29.94;3.944;13.1506673767
99.0;9.0;0.3;51.2;48.8;24.8;29.71;6.478;21.820381916
99.0;9.0;0.6;21.6;78.4;13.8;29.19;11.354;38.8903571168
99.0;9.0;0.9;3.0;97.0;12.4;29.14;15.74;53.9624029389
99.0;9.0;1.0;0.8;99.2;11.2;29.63;17.332;58.4833949715
99.0;9.0;9.0;34.8;65.2;19.0;29.94;8.646;28.8481394268
99.0;9.0;99.0;28.2;71.8;22.2;30.56;9.618;31.5074502819
99.0;99.0;0.05;77.0;23.0;29.0;29.76;3.336;11.1804057592
99.0;99.0;0.3;60.4;39.6;22.8;29.27;5.556;19.001485411
99.0;99.0;0.6;23.8;76.2;27.6;29.58;10.008;33.8541577656
99.0;99.0;0.9;4.6;95.4;15.2;29.8;15.446;51.8422967329
99.0;99.0;1.0;1.6;98.4;13.4;29.98;17.45;58.2077901061
99.0;99.0;9.0;36.0;64.0;27.8;29.25;8.942;30.5768974454
99.0;99.0;99.0;35.0;65.0;22.2;30.4;9.234;30.4739475566
